,Job Title,Rating,Company Name,Location,Sector,avg Salary,avg size,Founded
22,Quantitative Researcher – Intern (US),4.1,"Citadel Securities
4.1","New York, NY",Finance,146000.0,500.0,2002
23,Senior Data Engineer (Healthcare Domain experience required),3.4,"Enterprise Integration
3.4","New York, NY",Information Technology,146000.0,200.0,1998
24,Data Scientist,4.4,"WITHIN
4.4","New York, NY",Business Services,146000.0,200.0,2015
25,"Data Scientist, Marketplace Economics",3.8,"Spotify
3.8","New York, NY",Information Technology,146000.0,5000.0,2006
26,Data Scientist,4.1,"Datadog
4.1","New York, NY",Information Technology,146000.0,5000.0,2010
27,Lead Data Scientist,3.3,"Aetna
3.3","New York, NY",Insurance,146000.0,,1853
28,"Data Scientist, Personalization",5.0,"Hungryroot
5.0","New York, NY",Consumer Services,146000.0,50.0,2015
29,Principal Data Scientist,3.3,"Aetna
3.3","New York, NY",Insurance,146000.0,,1853
30,Data Scientist,4.3,"Caserta
4.3","New York, NY",Information Technology,130000.0,200.0,2001
31,"Data Scientist, Decisions",3.7,"Lyft
3.7","New York, NY",Information Technology,130000.0,10000.0,2012
32,Data Scientist,4.3,"IBG LLC
4.3","New York, NY",Finance,130000.0,500.0,1990
33,Data Scientist,3.0,"CLEAR
3.0","New York, NY",Business Services,130000.0,5000.0,2010
34,Data Science Analyst,3.7,"GNY Insurance Companies
3.7","New York, NY",Insurance,130000.0,500.0,1914
35,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",3.4,"Squarespace
3.4","New York, NY",Information Technology,130000.0,5000.0,2003
36,Data Scientist,3.5,"Andiamo
3.5","New York, NY","Restaurants, Bars & Food Services",130000.0,500.0,-1
37,Data Scientist,4.2,"infarm
4.2","New York, NY",Retail,130000.0,1000.0,2013
38,Data Scientist for Alpha Insights,3.5,"Andiamo
3.5","New York, NY","Restaurants, Bars & Food Services",130000.0,500.0,-1
39,"Data Scientist, Analytics",4.6,"Bowery Farming
4.6","New York, NY",Agriculture & Forestry,130000.0,200.0,2015
40,Data Scientist,4.3,"NorthOne
4.3","New York, NY",-1,130000.0,50.0,-1
41,Quantitative Researcher / Quantitative Research Analyst,4.1,"Citadel Securities
4.1","New York, NY",Finance,130000.0,500.0,2002
42,Technical Data Consultant,4.3,"Braze
4.3","New York, NY",Business Services,130000.0,1000.0,2011
43,"Data Scientist, Instagram - Well-being, Trust",4.5,"Facebook
4.5","New York, NY",Information Technology,130000.0,,2004
44,Data Science Analyst,-1.0,MUSIC & Entertainment,"New York, NY",-1,130000.0,,-1
45,"Data Scientist, Decisions",3.9,"Crisis Text Line
3.9","New York, NY",Non-Profit,130000.0,200.0,2013
46,Data Scientist,3.4,"Casper
3.4","New York, NY",Retail,130000.0,1000.0,2014
47,Data Scientist/Lead Data Scientist,4.7,"BlueLabs
4.7","New York, NY",Business Services,130000.0,50.0,-1
48,Quantitative Research Analyst,3.6,"Tower Research Capital
3.6","New York, NY",Finance,130000.0,1000.0,1998
49,"Data Scientist, Analytics & Inference",3.5,"Codecademy
3.5","New York, NY",Education,130000.0,200.0,2011
50,Data Analyst,3.9,"Point72
3.9","New York, NY",Finance,130000.0,5000.0,2014
51,CIB - Data Scientist,3.9,"JPMorgan Chase
3.9","New York, NY",Finance,130000.0,,1799
52,Data Scientist,3.2,"viagogo
3.2","New York, NY",Information Technology,130000.0,1000.0,2006
53,Data Scientist,-1.0,CompIQ,"New York, NY",Information Technology,130000.0,50.0,2015
54,Lead Data Scientist - 66201BR,3.3,"Aetna
3.3","New York, NY",Insurance,130000.0,,1853
55,"Data Scientist, Analytics & Inference",-1.0,Codeacademy,"New York, NY",-1,130000.0,,-1
56,Data Scientist,4.2,"Gallup
4.2","New York, NY",Business Services,130000.0,5000.0,1935
57,"Data Scientist, Buyer Experience",3.6,"eBay
3.6","New York, NY",Information Technology,130000.0,,1995
58,Data Scientist,3.9,"Amazon
3.9","New York, NY",Information Technology,130000.0,,1994
59,Data Scientist - Forecasting,3.9,"Amazon
3.9","New York, NY",Information Technology,130000.0,,1994
60,Data Scientist - Machine Learning Platform,3.8,"Spotify
3.8","New York, NY",Information Technology,133000.0,5000.0,2006
61,Data Scientist - People Analytics,-1.0,Doctors Without Borders | Médecins Sans Frontières,"New York, NY",-1,133000.0,,-1
62,Data Scientist / Engineer,5.0,"Snappy
5.0","New York, NY",Information Technology,133000.0,50.0,2015
63,Data Scientist,-1.0,Pierce Technology Corp,"New York, NY",-1,133000.0,,-1
64,Applied Data Scientist,3.4,"Aptus Health
3.4","New York, NY",Business Services,133000.0,500.0,2008
65,Data Scientist - Analytics Engineer,3.9,"JPMorgan Chase Bank, N.A.
3.9","Jersey City, NJ",Finance,133000.0,,1799
66,People Analytics Data Scientist,4.4,"D. E. Shaw & Co.
4.4","New York, NY",Finance,133000.0,5000.0,1988
67,Data Scientist,3.0,"Known
3.0","New York, NY",Business Services,133000.0,500.0,2004
68,Credit Analytics Manager,4.0,"Liberty Lending
4.0","New York, NY",Finance,133000.0,200.0,2015
69,Data Scientist - Nationwide Opportunities,3.9,"Amazon
3.9","New York, NY",Information Technology,133000.0,,1994
70,Data Scientist,3.6,"DoSomething.org
3.6","New York, NY",Non-Profit,133000.0,200.0,1993
71,Data Scientist,3.9,"ApTask
3.9","New York, NY",Information Technology,133000.0,500.0,2010
72,Data Scientist,2.8,"Match Group
2.8","New York, NY",Business Services,133000.0,5000.0,1998
73,Data Scientist - Power BI,4.1,"UCI
4.1","New York, NY",-1,133000.0,50.0,-1
74,Data Engineer (Python),4.4,"Conductor
4.4","New York, NY",Information Technology,99000.0,500.0,2010
75,Data Scientist - Next Gen Digital Investing App,3.3,"Forbes Media
3.3","Jersey City, NJ",Media,99000.0,500.0,1917
76,Data Scientist,2.9,"Interactive Brokers
2.9","New York, NY",Finance,99000.0,5000.0,-1
77,Data Scientist - Disney Streaming Services,4.0,"The Walt Disney Company
4.0","New York, NY",Media,99000.0,,1923
78,Data Scientist Technical Lead,4.4,"Google
4.4","New York, NY",Information Technology,99000.0,,1998
79,Healthcare Data Scientist,3.8,"Milliman
3.8","New York, NY",Business Services,99000.0,5000.0,1947
80,Data Scientist - Relocate to Washington D.C.,3.8,"CIA
3.8","New York, NY",Government,99000.0,,1947
81,Senior Data Scientist,2.7,"Metroplus Health Plan
2.7","New York, NY",Health Care,99000.0,5000.0,1985
82,Data Scientist,-1.0,Huxley Banking & Financial Services,"New York, NY",-1,99000.0,,-1
83,"Data Scientist/Engineer (SAS, R code, Python & Sql (Open to remote Workers))",4.3,"Medidata Solutions
4.3","New York, NY",Information Technology,99000.0,5000.0,1999
84,"Data Scientist, Analytics- Instagram-Family Stories",4.5,"Facebook
4.5","New York, NY",Information Technology,99000.0,,2004
85,Data Scientist,-1.0,One Drop,"New York, NY",Information Technology,99000.0,50.0,-1
86,Point72 Data Scientist,3.9,"Point72
3.9","New York, NY",Finance,99000.0,5000.0,2014
87,"Data Scientist II, Data, Models & Decisions",3.3,"LivePerson, Inc.
3.3","New York, NY",Information Technology,99000.0,5000.0,1995
88,Data Scientist,-1.0,Microagility,"New York, NY",Business Services,99000.0,50.0,-1
89,Data Scientist/Data Architect,-1.0,Financial Services Company,"New York, NY",-1,99000.0,,-1
90,AI - Quantitative Research Scientist,3.8,"Bloomberg
3.8","New York, NY",Information Technology,99000.0,,1981
91,Data Scientist,3.6,"Koch Industries
3.6","New York, NY","Oil, Gas, Energy & Utilities",99000.0,,1940
92,Data Scientist - Altdata,3.3,"Huxley
3.3","New York, NY",Business Services,99000.0,500.0,1995
93,Data Analyst,4.1,"NYU Langone Health
4.1","New York, NY",Health Care,99000.0,,1841
94,Data Scientist,2.8,"Gate Staffing LLC
2.8","New York, NY",Information Technology,99000.0,50.0,2010
95,Data Scientist,-1.0,ConcertAI,"New York, NY",-1,99000.0,,-1
96,"Data Scientist, Recommendations",3.4,"Tapestry
3.4","New York, NY",Retail,99000.0,,2017
97,"Data Scientist, Analytics & Insights",3.4,"Tapestry
3.4","New York, NY",Retail,99000.0,,2017
98,Data Scientist,2.9,"CKM Advisors
2.9","New York, NY",Business Services,99000.0,200.0,2011
99,Machine Learning Engineer/Scientist,4.8,"Jane Street
4.8","New York, NY",Finance,99000.0,1000.0,2000
100,Point72 Healthcare Data Scientist,3.9,"Point72
3.9","New York, NY",Finance,99000.0,5000.0,2014
101,Senior Data Scientist - Automated Marketing,3.8,"Spotify
3.8","New York, NY",Information Technology,99000.0,5000.0,2006
102,Data Scientist,5.0,"Averity
5.0","New York, NY",Business Services,99000.0,50.0,2014
103,Data Scientist,4.2,"The CARIAN Group
4.2","New York, NY",Business Services,99000.0,50.0,-1
104,Machine Learning & Data Engineer (Remote),4.7,"Jun Group Productions LLC
4.7","New York, NY",Information Technology,111500.0,200.0,2005
105,Data Scientist,-1.0,GradTests (gradtests.com),"New York, NY",-1,111500.0,,-1
106,Data Scientist,2.8,"Committee of 100
2.8","New York, NY",Non-Profit,111500.0,50.0,-1
107,Data Scientist / Statistician,4.2,"NJF Global Holdings
4.2","New York, NY",Business Services,111500.0,200.0,2003
108,Data Analyst,4.0,"DMGT
4.0","New York, NY",Finance,111500.0,10000.0,1896
109,Data Scientist (Java),4.9,"ubergig
4.9","New York, NY",Business Services,111500.0,50.0,2009
110,Data Scientist,4.0,"OneWire
4.0","New York, NY",Business Services,111500.0,50.0,2007
111,Data Scientist,3.4,"Thomas
3.4","New York, NY",Business Services,111500.0,500.0,1898
112,Data Scientist,2.7,"TBWA\Chiat\Day
2.7","New York, NY",Business Services,111500.0,5000.0,1968
113,Statistician (Data Scientist) *12 month Roster* *Direct Hire*,3.5,"Internal Revenue Service
3.5","New York, NY",Government,111500.0,,1862
114,Data Scientist,3.4,"Harry and David, LLC
3.4","Carle Place, NY",Retail,111500.0,1000.0,1934
115,Data Science Specialist USA,3.3,"Mphasis limited
3.3","New York, NY",Information Technology,111500.0,,1992
116,Senior Data Scientist,2.5,"Foursquare
2.5","New York, NY",Information Technology,111500.0,500.0,2009
117,Data Scientist,-1.0,Glean Analytics Inc.,"New York, NY",-1,111500.0,,-1
118,"Quantitative Developer, Data & Institutional Markets",4.4,"Ripple
4.4","New York, NY",Information Technology,111500.0,500.0,2012
119,"Data Scientist, Two Sigma Private Investments",4.4,"Two Sigma
4.4","New York, NY",Finance,111500.0,5000.0,2001
120,"Senior Data Scientist, Game Analytics",4.1,"Rockstar Games
4.1","New York, NY",Media,111500.0,5000.0,1998
121,Data Scientist,4.8,"TechProjects
4.8","New York, NY",Information Technology,111500.0,50.0,2011
122,Data Scientist,3.6,"Spring Health
3.6","New York, NY",Health Care,111500.0,50.0,2016
123,Senior Data Scientist,3.8,"Grubhub
3.8","New York, NY",Information Technology,111500.0,5000.0,2004
124,Data Scientist,5.0,"SkillSoniq
5.0","New York, NY",-1,111500.0,,-1
125,Data Scientist - Demand Forecasting,3.9,"Amazon
3.9","New York, NY",Information Technology,111500.0,,1994
126,Senior Data Scientist,4.5,"Arena
4.5","New York, NY",Information Technology,111500.0,50.0,2014
127,Quantitative Analyst Intern,4.4,"D. E. Shaw & Co.
4.4","New York, NY",Finance,111500.0,5000.0,1988
128,"Data Scientist / Analytics, Data Engineering",1.0,"Sphinix Solutions
1.0","New York, NY",Information Technology,111500.0,50.0,-1
129,Data Analyst (Games),-1.0,Carry1st,"New York, NY",-1,111500.0,,-1
130,Data Scientist,4.0,"Lorven Technologies Inc
4.0","New York, NY",Accounting & Legal,111500.0,50.0,-1
131,Sports Betting Data Scientist,-1.0,Line Sniper,"New York, NY",-1,111500.0,,-1
132,Data Scientist,3.6,"Strategic Financial Solutions
3.6","New York, NY",Consumer Services,111500.0,1000.0,2007
133,Data Scientist,3.7,"Audible
3.7","Newark, NJ",Media,111500.0,5000.0,1995
134,Data Scientist,3.4,"Voice
3.4","Brooklyn, NY",-1,169500.0,,-1
135,Data Engineer,4.7,"Seated
4.7","New York, NY",Information Technology,169500.0,50.0,2017
136,"Senior / Data Scientist, Ads and Messaging R&D",3.8,"Spotify
3.8","New York, NY",Information Technology,169500.0,5000.0,2006
137,Data Scientist/Data Science Instructor (Part-time),4.9,"NYC Data Science Academy
4.9","New York, NY",Education,169500.0,50.0,2014
138,Federal - Data Scientist,4.2,"Solekai Systems Corp
4.2","New York, NY",Information Technology,169500.0,50.0,2002
139,Data Scientist,3.4,"Digital Intelligence Systems, LLC
3.4","Franklin Lakes, NJ",Information Technology,169500.0,5000.0,1994
140,"Senior Analyst, Data Science",3.9,"Roku
3.9","New York, NY",Information Technology,169500.0,5000.0,2002
141,Senior Data Scientist,4.4,"Oliver Wyman
4.4","New York, NY",Business Services,169500.0,5000.0,1984
142,Machine Learning Researcher / Data Scientist,-1.0,"J Harlan Group, LLC","New York, NY",-1,169500.0,50.0,-1
143,Applied Scientist,3.9,"Amazon
3.9","New York, NY",Information Technology,169500.0,,1994
144,Quantitative Researcher - Portfolio Modeling,-1.0,Edward Daniels Group,"New York, NY",Information Technology,169500.0,50.0,2007
145,Data Scientist,4.8,"InvenTech Info
4.8","Jersey City, NJ",Information Technology,169500.0,500.0,2010
146,Data Analyst,5.0,"Whip Media Group
5.0","New York, NY",-1,169500.0,200.0,2016
147,Investment & Data Science Intern,4.0,"JAG Capital
4.0","New York, NY",Manufacturing,169500.0,50.0,-1
148,Data Scientist(s)/Machine Learning Engineer,5.0,"Blue Horizon Tek Solutions
5.0","New York, NY",Business Services,169500.0,50.0,1987
149,CCB F&BM - Quantitative Modeler / Data Scientist - Marketing - Associate,3.9,"JPMorgan Chase Bank, N.A.
3.9","New York, NY",Finance,169500.0,,1799
150,Data Scientist,3.8,"NPD
3.8","Port Washington, NY",Business Services,169500.0,5000.0,1966
151,Data Science & Machine Learning Research Intern,-1.0,Altversity,"New York, NY",-1,169500.0,,-1
152,"Sr. Data Scientist/Data Engineer, AI (Tech Delivery Lead) – New York, NY/Dallas, TX",3.3,"Fujitsu
3.3","New York, NY",-1,169500.0,,1935
153,Data Scientist,2.8,"1-800-Flowers
2.8","New York, NY",Business Services,169500.0,5000.0,1976
154,"Senior Data Scientist, Real World EvidenceNY",4.0,"Flatiron Health
4.0","New York, NY",Information Technology,169500.0,1000.0,2012
155,Data Scientist - Leading Quant Hedge Fund,-1.0,Edward Daniels Group,"New York, NY",Information Technology,169500.0,50.0,2007
156,Data Scientist II,3.6,"MediaMath
3.6","New York, NY",Business Services,169500.0,1000.0,2007
157,Data Scientist,-1.0,The Organic Recruiter,"New York, NY",-1,169500.0,,-1
158,Data Scientist,3.7,"Via Transportation
3.7","New York, NY",Information Technology,169500.0,1000.0,2012
159,Data Scientist,-1.0,Biotenico Research and Development Company,"New York, NY",-1,169500.0,,-1
160,"Principal Associate, Data Scientist - Small Business Card, Entity Resolution",3.9,"Capital One
3.9","New York, NY",Finance,169500.0,,1994
161,Principal Data Scientist,4.2,"Gallup
4.2","New York, NY",Business Services,169500.0,5000.0,1935
162,Data Scientist,1.9,"Building Service 32BJ Benefit Funds
1.9","New York, NY",Health Care,169500.0,500.0,-1
163,"Lead Data Scientist, R&D Team",3.5,"Marsh
3.5","New York, NY",Insurance,169500.0,,1871
164,Data Analyst,3.8,"Undertone
3.8","New York, NY",Business Services,205000.0,500.0,2001
165,Business Intelligence Analyst,4.4,"Simple Health
4.4","New York, NY",Information Technology,205000.0,200.0,2015
166,Product Data Analyst,5.0,"Galileo
5.0","New York, NY",Health Care,205000.0,50.0,-1
167,Data Analyst,3.4,"City of New York
3.4","New York, NY",Government,205000.0,,1625
168,Data Scientist,3.1,"Catholic Health Services of Long Island
3.1","Rockville Centre, NY",Health Care,205000.0,,1997
169,"Lead Data Scientist, R&D Team",3.4,"Marsh & McLennan Companies, Inc.
3.4","New York, NY",Insurance,205000.0,,1871
170,Data Analyst,3.5,"Pozent
3.5","New York, NY",-1,205000.0,50.0,-1
171,Senior Data Scientist,-1.0,Entera,"New York, NY",Real Estate,205000.0,,-1
172,Sr. Data Scientist,4.0,"Mediaocean
4.0","New York, NY",Information Technology,205000.0,1000.0,1967
173,Senior Data Scientist,3.4,"The Trade Desk
3.4","New York, NY",Information Technology,205000.0,5000.0,2009
174,Data Science Intern,-1.0,The Buttonwood Tree,"New York, NY",-1,205000.0,,-1
175,Senior Data Scientist,3.6,"NYC Health + Hospitals
3.6","New York, NY",Health Care,205000.0,10000.0,-1
176,NLP Machine Learning Engineer,3.0,"Samsung NEXT
3.0","New York, NY",Information Technology,205000.0,500.0,2012
177,Senior Data Scientist,5.0,"Landis
5.0","New York, NY",-1,205000.0,50.0,2017
178,Senior Data Scientist,4.1,"NewtonX
4.1","New York, NY",Information Technology,205000.0,50.0,2017
179,"Data Analyst, Bitcoin Trading Firm",-1.0,Fintech Recruiters,"New York, NY",-1,205000.0,,-1
180,"VP, Data Scientist",4.5,"Spot.IM
4.5","New York, NY",Information Technology,205000.0,200.0,2012
181,Senior Data Engineer,4.2,"Tapad
4.2","New York, NY",Information Technology,205000.0,200.0,2010
182,Data Scientist,-1.0,Amber People,"New York, NY",-1,205000.0,,-1
183,Senior Data Scientist,5.0,"Thrasio
5.0","New York, NY",Retail,205000.0,200.0,2018
184,Deployed Data Scientist,-1.0,ConcertAI,"New York, NY",-1,205000.0,,-1
185,Data Scientist,-1.0,CompuForce,"New York, NY",-1,205000.0,,-1
186,"Senior / Data Scientist, Advertising Business",3.8,"Spotify
3.8","New York, NY",Information Technology,205000.0,5000.0,2006
187,Data Scientist,-1.0,Wisestep,"Queens Village, NY",-1,205000.0,,-1
188,"Data Scientist, Voter Data",-1.0,Hawkfish,"New York, NY",-1,205000.0,,-1
189,Data Science Analyst/Engineer,4.1,"NYU Langone Health
4.1","New York, NY",Health Care,205000.0,,1841
190,Data Scientist - Disney Streaming Services,3.6,"Disney Streaming Services
3.6","New York, NY",Information Technology,205000.0,1000.0,2018
191,Data Scientist,-1.0,HireAi,"New York, NY",-1,205000.0,,-1
192,Data Analyst,3.1,"Vettery
3.1","New York, NY",Information Technology,205000.0,500.0,2013
193,Data Scientist,1.0,"TEKREQS, Inc.
1.0","New York, NY",-1,205000.0,50.0,-1
194,"Manager, Data Scientist Recommendations",3.4,"Tapestry
3.4","New York, NY",Retail,133000.0,,2017
195,Lead Data Scientist,3.6,"eBay
3.6","New York, NY",Information Technology,133000.0,,1995
196,Senior Data Scientist,4.6,"Bowery Farming
4.6","New York, NY",Agriculture & Forestry,133000.0,200.0,2015
197,Principal Data Scientist,4.0,"Slice (NY)
4.0","New York, NY",Information Technology,133000.0,200.0,2010
198,Scientist Data Analytics,4.7,"TEEMA
4.7","New York, NY",Business Services,133000.0,500.0,2008
199,Data Engineer,4.4,"Mark43
4.4","New York, NY",Information Technology,133000.0,200.0,2012
200,Hiring Data Scientist/AI/ML,4.0,"Comtech Global Inc
4.0","New York, NY",Consumer Services,133000.0,200.0,-1
201,Data Analyst,3.6,"MediaMath
3.6","New York, NY",Business Services,133000.0,1000.0,2007
202,Lead Data Scientist,4.1,"Rockstar Games
4.1","New York, NY",Media,133000.0,5000.0,1998
203,Machine Learning Engineer,3.9,"Temboo
3.9","New York, NY",Information Technology,133000.0,50.0,-1
204,Data Scientist,1.6,"Management Decisions, Inc.
1.6","New York, NY",Business Services,133000.0,50.0,-1
205,Sr. Data Scientist II,3.5,"Argo Group US
3.5","New York, NY",Insurance,133000.0,5000.0,1948
206,Senior Data Scientist - R&D Oncology,4.0,"AstraZeneca
4.0","New York, NY",Biotech & Pharmaceuticals,133000.0,,1913
207,Data Science and Analytics,4.0,"Two95 International Inc.
4.0","New York, NY",Business Services,133000.0,50.0,-1
208,Data Analyst,3.5,"FINRA
3.5","New York, NY",Finance,133000.0,5000.0,2007
209,Data Scientist,5.0,"Prolancer
5.0","New York, NY",-1,133000.0,50.0,-1
210,Data Scientist Product Manager,5.0,"Thrasio
5.0","New York, NY",Retail,133000.0,200.0,2018
211,"Senior Data Scientist, Real World Evidence",4.0,"Flatiron Health
4.0","New York, NY",Information Technology,133000.0,1000.0,2012
212,Data Scientist/Python Developer,3.5,"EDP World, Inc.
3.5","New York, NY",Business Services,133000.0,50.0,1968
213,"Software Engineer - Data Engineering, Finance Products",3.4,"Squarespace
3.4","New York, NY",Information Technology,133000.0,5000.0,2003
214,Senior Data Scientist,3.6,"TRANZACT
3.6","Fort Lee, NJ",Business Services,133000.0,5000.0,1989
215,Intern- Martech & Data Consulting,3.2,"Havas Worldwide
3.2","New York, NY",Business Services,133000.0,,1999
216,Data Engineer,4.7,"B12
4.7","New York, NY",Information Technology,133000.0,50.0,2015
217,Data Scientist,-1.0,Simatree,"Middletown, NJ",Business Services,133000.0,50.0,-1
218,Senior Data Scientist,5.0,"Averity
5.0","New York, NY",Business Services,133000.0,50.0,2014
219,"Senior Scientist, Computational Biology",3.9,"Icahn School of Medicine at Mount Sinai
3.9","New York, NY",-1,133000.0,5000.0,-1
220,Senior Data Scientist,4.2,"CyberCoders
4.2","New York, NY",Business Services,133000.0,500.0,1999
221,Data Engineer,3.7,"GNY Insurance Companies
3.7","New York, NY",Insurance,133000.0,500.0,1914
222,Sr Data Scientist,3.1,"Healthfirst (New York)
3.1","New York, NY",Insurance,133000.0,5000.0,1993
223,Data Scientist,3.8,"Visiting Nurse Service of New York
3.8","New York, NY",Health Care,133000.0,,1893
224,Data Visualization Engineer,3.9,"Point72
3.9","New York, NY",Finance,134000.0,5000.0,2014
225,Quantitative Researcher - Alpha Capture,-1.0,Kepler Fi,"New York, NY",-1,134000.0,,-1
226,Research Scientist,4.1,"NYU Langone Health
4.1","New York, NY",Health Care,134000.0,,1841
227,Principal Data Scientist,3.8,"Slice
3.8","New York, NY",Finance,134000.0,500.0,2016
228,Machine Learning Engineer,3.8,"Peloton Interactive
3.8","New York, NY",Consumer Services,134000.0,5000.0,2012
229,"Senior Data Scientist, Treasury Product Manager",3.7,"Bank of America
3.7","New York, NY",Finance,134000.0,,1904
230,Data Scientist - Market and Sales Analytics,4.4,"Riskified
4.4","New York, NY",Business Services,134000.0,1000.0,2013
231,Sr. Data Scientist,3.9,"Amazon
3.9","New York, NY",Information Technology,134000.0,,1994
232,Data Scientist (Fintech),5.0,"ingenium.agency
5.0","Brooklyn, NY",Business Services,134000.0,50.0,2016
233,Data Scientist I Seller Development,3.9,"Amazon
3.9","New York, NY",Information Technology,134000.0,,1994
234,"Applied Scientist, Machine Learning (BK or SF)",3.6,"Etsy
3.6","Brooklyn, NY",Retail,134000.0,1000.0,2005
235,Quantitative Researcher,4.2,"NJF Global Holdings
4.2","New York, NY",Business Services,134000.0,200.0,2003
236,AI Engineering: Data Scientist/Machine Learning Engineer,3.9,"JPMorgan Chase Bank, N.A.
3.9","Jersey City, NJ",Finance,134000.0,,1799
237,Quantum Data Scientist (Industrial-Process sector),3.7,"IBM
3.7","New York, NY",Information Technology,134000.0,,1911
238,Principal Data Scientist,4.3,"Caserta
4.3","New York, NY",Information Technology,134000.0,200.0,2001
239,Small Business Lending Data Scientist,3.5,"Credibly
3.5","New York, NY",Finance,134000.0,200.0,2010
240,"Data Scientist, Primary Research (Disney Streaming Services)",4.0,"Walt Disney Co.
4.0","New York, NY",Media,134000.0,,1923
241,"Machine Learning Engineer, Computer Vision",3.0,"Samsung NEXT
3.0","New York, NY",Information Technology,134000.0,500.0,2012
242,Sr Data Scientist,3.1,"Healthfirst
3.1","New York, NY",Insurance,152000.0,5000.0,1993
243,"Senior Data Analyst, Disney+",4.0,"The Walt Disney Company
4.0","New York, NY",Media,152000.0,,1923
244,Quantitative Researcher,5.0,"LaBine & Associates
5.0","New York, NY",Business Services,152000.0,50.0,2013
245,Data Analyst,3.5,"Andiamo
3.5","New York, NY","Restaurants, Bars & Food Services",152000.0,500.0,-1
246,Marketing Data Analyst,3.6,"Current
3.6","New York, NY",-1,152000.0,500.0,-1
247,"Senior Data Scientist, Product Analytics",4.4,"Slice
4.4","New York, NY",Information Technology,152000.0,200.0,2010
248,Data Science & Analytics Manager,-1.0,Kinship,"New York, NY",Business Services,152000.0,50.0,-1
249,RWD Healthcare Data Scientist,2.6,"WCG
2.6","Florham Park, NJ",Business Services,152000.0,500.0,2001
250,Senior Data Scientist,3.6,"Humana
3.6","Jersey City, NJ",Insurance,152000.0,,1961
251,Machine Learning Engineer,4.6,"The Trevor Project
4.6","New York, NY",Non-Profit,152000.0,200.0,-1
252,Engineering Team Lead - Data Science,4.1,"Datadog
4.1","New York, NY",Information Technology,152000.0,5000.0,2010
253,Data Engineer,-1.0,Pinto,"New York, NY",-1,152000.0,50.0,-1
254,Senior Data Scientist,3.3,"Huxley
3.3","New York, NY",Business Services,152000.0,500.0,1995
255,Research Scientist - Machine Learning,3.5,"Samsung Research America
3.5","New York, NY",Information Technology,124500.0,5000.0,1988
256,Computer Vision Image Analytics Data Scientist,-1.0,Wise Skulls,"New York, NY",-1,124500.0,,-1
257,Data Engineer - Talent Pool,4.1,"Colgate-Palmolive
4.1","New York, NY",Manufacturing,124500.0,,1806
258,Principal Data Scientist,3.2,"First Health Group
3.2","New York, NY",Insurance,124500.0,,1853
259,Data Analyst,4.0,"Hearst Communications
4.0","New York, NY",Business Services,124500.0,50.0,-1
260,"Director of Engineering, Data",4.0,"Better.com
4.0","New York, NY",Information Technology,124500.0,1000.0,2014
261,Data Analyst Intern,3.6,"My Job Tank
3.6","Jersey City, NJ",Information Technology,124500.0,200.0,-1
